V1,V6,V10,V12,V13,V14,V15
31,410.0,25,182.0,1,185.0,1
55,2038.0,9,394.0,1,-1.0,0
39,-17.0,28,908.0,1,-1.0,0
35,0.0,16,1174.0,1,345.0,4
49,350.0,28,91.0,3,-1.0,0
35,4508.0,18,854.0,1,-1.0,0
31,144.0,17,370.0,3,-1.0,0
27,3485.0,25,282.0,2,-1.0,0
36,539.0,27,398.0,2,477.0,1
35,399.0,13,496.0,2,345.0,3
38,557.0,16,1556.0,4,-1.0,0
64,1612.0,18,336.0,1,89.0,5
42,3713.0,19,709.0,2,-1.0,0
47,175.0,15,236.0,4,262.0,7
48,105.0,31,111.0,2,-1.0,0
33,3.0,18,163.0,7,-1.0,0
42,4216.0,12,186.0,2,-1.0,0
33,697.0,6,860.0,2,-1.0,0
29,241.0,5,7.0,5,-1.0,0
70,6422.0,10,122.0,1,-1.0,0
36,1224.0,12,482.0,1,374.0,1
37,0.0,9,179.0,1,190.0,1
22,381.0,12,227.0,1,-1.0,0
47,699.0,5,203.0,1,-1.0,0
58,3399.0,26,1078.0,1,97.0,7
49,354.0,19,166.0,3,-1.0,0
34,29.0,15,285.0,5,-1.0,0
31,0.0,10,97.0,1,782.0,1
24,556.0,8,278.0,1,94.0,4
36,9.0,7,473.0,2,-1.0,0
34,382.0,4,494.0,2,198.0,7
39,1382.0,11,397.0,2,-1.0,0
41,231.0,26,428.0,2,-1.0,0
33,0.0,11,443.0,1,-1.0,0
37,1698.0,6,95.0,2,-1.0,0
49,377.0,22,158.0,1,59.0,2
45,5163.0,20,9.0,2,-1.0,0
40,4436.0,13,67.0,2,-1.0,0
55,387.0,6,918.0,1,-1.0,0
34,-374.0,11,672.0,1,-1.0,0
31,1858.0,12,453.0,3,-1.0,0
32,7406.0,20,418.0,2,-1.0,0
40,1558.0,20,44.0,15,-1.0,0
42,5310.0,20,273.0,1,90.0,3
32,1279.0,3,1173.0,3,-1.0,0
43,378.0,30,782.0,8,-1.0,0
54,841.0,8,284.0,4,-1.0,0
55,512.0,5,1200.0,2,-1.0,0
35,-995.0,25,734.0,4,-1.0,0
39,0.0,18,224.0,3,-1.0,0
36,0.0,17,222.0,3,-1.0,0
45,-687.0,18,92.0,2,-1.0,0
37,1784.0,19,19.0,5,-1.0,0
56,9367.0,13,320.0,2,101.0,2
33,76.0,4,1141.0,4,-1.0,0
75,1765.0,14,808.0,1,187.0,4
30,6.0,23,274.0,2,-1.0,0
26,5005.0,3,117.0,1,-1.0,0
29,0.0,15,218.0,1,-1.0,0
33,854.0,29,93.0,1,-1.0,0
57,3109.0,15,107.0,2,105.0,2
58,99.0,22,396.0,2,-1.0,0
59,133.0,9,206.0,1,-1.0,0
53,206.0,5,145.0,1,-1.0,0
38,5.0,7,221.0,2,-1.0,0
32,557.0,4,210.0,2,253.0,1
59,1625.0,4,198.0,1,180.0,2
29,57.0,7,461.0,1,-1.0,0
38,0.0,22,315.0,1,-1.0,0
27,151.0,16,496.0,1,-1.0,0
31,1.0,30,101.0,16,-1.0,0
42,413.0,11,589.0,2,-1.0,0
28,0.0,26,89.0,1,-1.0,0
38,385.0,28,154.0,1,-1.0,0
45,492.0,29,141.0,2,-1.0,0
32,6981.0,2,154.0,1,194.0,3
34,-109.0,15,860.0,4,-1.0,0
57,-157.0,28,31.0,9,-1.0,0
38,1255.0,17,151.0,2,171.0,2
60,316.0,4,545.0,2,263.0,4
31,12857.0,4,483.0,4,87.0,2
52,2398.0,3,412.0,1,-1.0,0
39,5.0,17,118.0,2,131.0,1
42,279.0,23,673.0,1,-1.0,0
27,585.0,28,180.0,3,-1.0,0
42,117.0,9,105.0,1,-1.0,0
35,0.0,2,184.0,1,-1.0,0
25,1857.0,13,195.0,2,91.0,10
30,5389.0,6,1456.0,3,-1.0,0
40,193.0,18,105.0,6,-1.0,0
29,55.0,10,235.0,1,-1.0,0
37,1120.0,30,103.0,5,-1.0,0
49,823.0,8,780.0,4,-1.0,0
38,934.0,14,715.0,1,-1.0,0
34,920.0,14,526.0,3,179.0,3
59,1723.0,19,70.0,1,-1.0,0
40,473.0,28,383.0,3,-1.0,0
52,992.0,27,424.0,1,515.0,1
67,704.0,8,186.0,2,97.0,1
22,691.0,30,260.0,5,103.0,1
32,1271.0,20,51.0,1,-1.0,0
31,202.0,8,167.0,1,62.0,1
56,186.0,2,108.0,4,-1.0,0
49,-471.0,20,77.0,3,185.0,7
38,202.0,5,1311.0,2,-1.0,0
26,370.0,8,1061.0,4,-1.0,0
29,-20.0,21,574.0,1,-1.0,0
53,321.0,5,123.0,1,-1.0,0
46,25204.0,6,72.0,1,-1.0,0
35,2999.0,12,1141.0,6,-1.0,0
57,2112.0,12,1134.0,2,-1.0,0
37,6889.0,21,1221.0,1,-1.0,0
43,422.0,12,110.0,1,-1.0,0
55,625.0,20,88.0,2,147.0,4
62,298.0,17,709.0,2,-1.0,0
60,209.0,14,391.0,3,106.0,1
53,-252.0,24,223.0,2,-1.0,0
45,2552.0,1,69.0,1,293.0,7
21,-172.0,15,409.0,1,361.0,3
46,2904.0,30,984.0,2,-1.0,0
33,386.0,12,253.0,1,92.0,4
49,126.0,19,184.0,2,-1.0,0
36,0.0,8,171.0,1,172.0,3
32,689.0,16,162.0,3,-1.0,0
38,104.0,6,606.0,3,-1.0,0
37,1049.0,31,126.0,5,-1.0,0
45,1411.0,7,800.0,2,102.0,3
31,-182.0,7,181.0,2,-1.0,0
35,0.0,21,199.0,3,-1.0,0
35,681.0,18,737.0,1,561.0,2
43,9.0,6,472.0,1,-1.0,0
25,331.0,26,170.0,4,-1.0,0
43,-98.0,12,112.0,2,330.0,3
26,276.0,15,106.0,1,368.0,4
65,3629.0,27,148.0,1,-1.0,0
37,1000.0,22,239.0,1,99.0,2
50,1501.0,21,946.0,4,-1.0,0
34,9.0,17,655.0,1,-1.0,0
84,4761.0,9,1405.0,1,92.0,3
37,189.0,2,253.0,2,-1.0,0
33,2586.0,11,117.0,3,-1.0,0
49,2159.0,17,771.0,1,-1.0,0
59,0.0,5,812.0,1,-1.0,0
29,887.0,4,343.0,1,-1.0,0
33,250.0,4,377.0,6,-1.0,0
29,22008.0,28,139.0,2,-1.0,0
41,1982.0,21,558.0,1,-1.0,0
23,1129.0,28,806.0,1,-1.0,0
43,1358.0,10,159.0,3,-1.0,0
38,88.0,8,282.0,2,186.0,4
38,257.0,30,435.0,1,-1.0,0
48,67.0,14,251.0,2,-1.0,0
33,679.0,5,1109.0,2,-1.0,0
43,95.0,18,296.0,1,-1.0,0
49,1167.0,25,213.0,6,150.0,8
48,157.0,28,417.0,4,-1.0,0
25,101.0,8,460.0,3,-1.0,0
29,163.0,3,249.0,1,-1.0,0
48,318.0,5,1017.0,4,-1.0,0
31,355.0,12,609.0,1,-1.0,0
28,1773.0,23,275.0,1,-1.0,0
28,-284.0,12,162.0,1,-1.0,0
26,1623.0,2,479.0,1,-1.0,0
23,314.0,8,142.0,4,-1.0,0
25,50.0,8,191.0,1,-1.0,0
49,381.0,5,504.0,2,-1.0,0
61,5267.0,11,226.0,3,-1.0,0
42,2037.0,5,135.0,1,8.0,1
26,632.0,12,312.0,3,181.0,1
37,0.0,3,144.0,2,463.0,6
34,4260.0,15,375.0,1,-1.0,0
49,124.0,29,125.0,19,-1.0,0
44,316.0,21,163.0,3,-1.0,0
30,1681.0,23,128.0,1,106.0,2
36,0.0,15,1002.0,4,-1.0,0
46,270.0,12,125.0,1,-1.0,0
24,382.0,30,567.0,2,-1.0,0
49,341.0,15,520.0,2,-1.0,0
80,155.0,9,343.0,2,-1.0,0
36,3057.0,16,2769.0,4,-1.0,0
48,595.0,24,464.0,1,-1.0,0
35,-121.0,1,73.0,1,-1.0,0
38,91.0,2,207.0,1,-1.0,0
31,19.0,19,178.0,5,-1.0,0
51,-714.0,18,83.0,2,-1.0,0
32,791.0,21,783.0,2,-1.0,0
44,97.0,6,153.0,4,-1.0,0
31,5889.0,23,237.0,1,-1.0,0
40,-438.0,11,1017.0,1,-1.0,0
40,0.0,15,431.0,2,-1.0,0
53,2269.0,17,1091.0,2,150.0,1
40,3840.0,24,232.0,2,409.0,2
50,4979.0,6,180.0,1,-1.0,0
32,5167.0,26,10.0,18,-1.0,0
32,3050.0,23,298.0,1,-1.0,0
53,751.0,3,1528.0,2,-1.0,0
58,44.0,15,288.0,2,-1.0,0
55,0.0,12,467.0,5,-1.0,0
30,80.0,8,185.0,2,-1.0,0
32,73.0,28,545.0,1,-1.0,0
41,-100.0,16,20.0,21,-1.0,0
46,0.0,22,65.0,2,-1.0,0
40,1181.0,4,718.0,2,189.0,2
31,12569.0,9,344.0,1,295.0,1
36,3623.0,12,71.0,1,378.0,1
49,1403.0,3,124.0,2,180.0,2
32,311.0,12,757.0,2,-1.0,0
53,-421.0,26,543.0,4,-1.0,0
60,560.0,15,730.0,5,-1.0,0
33,990.0,24,1491.0,2,-1.0,0
42,1066.0,26,125.0,1,104.0,3
32,210.0,19,268.0,1,-1.0,0
54,324.0,29,124.0,11,-1.0,0
34,2283.0,20,790.0,1,-1.0,0
32,0.0,20,415.0,2,-1.0,0
41,2195.0,3,211.0,5,-1.0,0
40,206.0,23,499.0,6,185.0,4
40,902.0,15,619.0,4,-1.0,0
30,816.0,14,179.0,1,-1.0,0
26,246.0,16,1143.0,3,-1.0,0
60,0.0,7,401.0,3,-1.0,0
32,1168.0,16,411.0,1,-1.0,0
36,966.0,8,135.0,2,91.0,13
38,4406.0,13,689.0,2,-1.0,0
31,2137.0,6,132.0,1,-1.0,0
45,3689.0,7,397.0,1,169.0,5
38,119.0,13,568.0,4,-1.0,0
28,198.0,5,128.0,2,-1.0,0
31,1761.0,29,332.0,3,440.0,3
55,240.0,2,108.0,3,277.0,1
47,3973.0,6,732.0,2,-1.0,0
32,4733.0,30,532.0,1,-1.0,0
29,356.0,9,106.0,1,-1.0,0
76,1780.0,23,413.0,3,-1.0,0
32,1165.0,27,19.0,23,-1.0,0
54,582.0,15,693.0,5,372.0,2
43,14144.0,21,504.0,1,-1.0,0
39,3.0,6,488.0,1,-1.0,0
50,2366.0,28,816.0,2,149.0,1
40,1247.0,2,445.0,2,-1.0,0
42,1628.0,25,590.0,8,-1.0,0
78,301.0,7,537.0,2,-1.0,0
26,100.0,26,445.0,1,-1.0,0
30,623.0,29,512.0,5,-1.0,0
28,751.0,22,598.0,5,-1.0,0
38,4383.0,4,1381.0,4,-1.0,0
31,3528.0,5,132.0,1,-1.0,0
40,858.0,21,173.0,1,-1.0,0
33,498.0,30,301.0,1,-1.0,0
50,37.0,5,307.0,4,-1.0,0
27,265.0,13,1119.0,2,-1.0,0
41,-675.0,18,147.0,4,-1.0,0
50,2313.0,5,553.0,1,-1.0,0
35,2374.0,11,765.0,2,183.0,5
58,25.0,9,486.0,3,-1.0,0
32,1088.0,6,317.0,1,363.0,2
31,4.0,17,234.0,2,-1.0,0
54,5475.0,21,1032.0,1,91.0,4
61,6610.0,24,481.0,2,-1.0,0
41,1471.0,18,233.0,2,-1.0,0
46,196.0,14,29.0,2,-1.0,0
42,323.0,8,280.0,2,-1.0,0
37,465.0,18,899.0,3,-1.0,0
31,6413.0,13,517.0,2,-1.0,0
36,22.0,6,125.0,2,-1.0,0
25,2022.0,29,276.0,8,97.0,12
38,10443.0,19,370.0,1,-1.0,0
46,2466.0,1,216.0,3,370.0,1
35,994.0,30,400.0,1,87.0,2
47,372.0,15,257.0,1,-1.0,0
69,426.0,10,211.0,2,185.0,2
37,3141.0,4,384.0,2,-1.0,0
36,2183.0,26,116.0,2,-1.0,0
55,0.0,2,116.0,1,-1.0,0
34,296.0,27,609.0,13,-1.0,0
60,1690.0,20,1467.0,4,-1.0,0
41,1646.0,5,258.0,1,90.0,7
32,86.0,26,1099.0,1,-1.0,0
31,2978.0,8,146.0,2,-1.0,0
55,0.0,12,614.0,2,-1.0,0
25,0.0,15,1424.0,4,-1.0,0
59,1265.0,7,849.0,1,-1.0,0
59,252.0,17,138.0,1,175.0,2
36,532.0,29,391.0,1,241.0,1
35,26.0,16,78.0,2,-1.0,0
28,36.0,14,158.0,3,-1.0,0
36,725.0,27,123.0,3,99.0,8
49,1697.0,19,236.0,1,-1.0,0
45,0.0,7,344.0,1,-1.0,0
41,39.0,21,299.0,4,-1.0,0
55,1097.0,7,191.0,4,-1.0,0
36,490.0,22,72.0,1,-1.0,0
52,-99.0,26,91.0,3,-1.0,0
30,178.0,17,656.0,3,-1.0,0
61,52587.0,15,394.0,3,189.0,1
30,700.0,12,73.0,2,-1.0,0
53,1868.0,8,156.0,4,-1.0,0
30,102.0,18,364.0,3,-1.0,0
32,718.0,15,95.0,1,-1.0,0
39,393.0,28,325.0,1,94.0,1
38,226.0,30,762.0,3,-1.0,0
78,158.0,18,360.0,1,-1.0,0
37,426.0,17,285.0,1,-1.0,0
33,44.0,23,529.0,1,-1.0,0
50,237.0,5,169.0,1,-1.0,0
31,10884.0,10,294.0,3,98.0,2
42,681.0,18,203.0,1,-1.0,0
31,1117.0,28,340.0,3,-1.0,0
35,154.0,29,200.0,4,181.0,2
30,2568.0,4,563.0,1,100.0,4
75,358.0,17,364.0,11,-1.0,0
18,108.0,8,169.0,1,-1.0,0
31,208.0,12,1344.0,7,-1.0,0
31,418.0,7,67.0,6,-1.0,0
34,3527.0,21,1022.0,1,-1.0,0
42,1080.0,13,951.0,3,370.0,4
37,0.0,21,169.0,1,113.0,5
55,0.0,27,262.0,6,193.0,4
29,615.0,18,373.0,1,-1.0,0
53,62.0,30,1044.0,5,-1.0,0
51,-799.0,15,1001.0,3,-1.0,0
48,-552.0,21,150.0,2,-1.0,0
34,899.0,9,627.0,2,141.0,7
58,-382.0,5,398.0,4,189.0,12
29,238.0,26,79.0,1,-1.0,0
26,-379.0,22,1237.0,7,-1.0,0
33,557.0,4,367.0,1,-1.0,0
31,2480.0,4,107.0,4,-1.0,0
35,342.0,2,427.0,4,-1.0,0
37,245.0,7,732.0,2,-1.0,0
25,1608.0,30,664.0,2,-1.0,0
32,1568.0,12,161.0,6,-1.0,0
33,278.0,1,563.0,5,-1.0,0
38,79.0,20,209.0,2,-1.0,0
42,254.0,9,241.0,1,336.0,1
30,313.0,4,1121.0,2,-1.0,0
55,645.0,10,123.0,1,-1.0,0
41,0.0,4,352.0,2,122.0,2
38,137.0,31,27.0,22,-1.0,0
36,849.0,21,958.0,2,-1.0,0
49,408.0,12,559.0,4,-1.0,0
33,149.0,19,424.0,2,182.0,1
24,110.0,23,27.0,1,-1.0,0
38,4723.0,13,187.0,2,-1.0,0
27,121.0,2,145.0,2,-1.0,0
27,1187.0,26,232.0,1,101.0,1
30,1541.0,18,471.0,8,-1.0,0
53,2693.0,5,90.0,1,104.0,1
36,-11.0,30,172.0,28,-1.0,0
33,0.0,14,535.0,3,328.0,1
30,2666.0,4,467.0,1,-1.0,0
30,697.0,29,215.0,3,80.0,5
33,7621.0,21,68.0,1,-1.0,0
67,1430.0,12,88.0,3,-1.0,0
60,0.0,18,161.0,2,-1.0,0
39,62.0,7,877.0,3,-1.0,0
63,0.0,13,263.0,1,181.0,2
48,275.0,5,34.0,1,-1.0,0
55,92.0,7,118.0,3,-1.0,0
34,69.0,4,120.0,3,1.0,6
24,3505.0,18,317.0,1,355.0,1
24,758.0,15,129.0,1,-1.0,0
59,2239.0,20,377.0,6,90.0,1
30,32.0,6,122.0,3,-1.0,0
30,5359.0,26,427.0,1,191.0,3
35,204.0,30,110.0,3,189.0,1
43,584.0,20,27.0,1,-1.0,0
34,0.0,20,150.0,1,-1.0,0
53,2679.0,20,295.0,3,-1.0,0
32,811.0,14,563.0,1,-1.0,0
49,816.0,17,76.0,1,260.0,7
34,0.0,14,78.0,4,-1.0,0
34,1965.0,4,714.0,1,-1.0,0
57,1166.0,9,106.0,1,-1.0,0
36,0.0,8,121.0,1,-1.0,0
33,2321.0,2,308.0,1,109.0,4
30,4448.0,11,112.0,8,-1.0,0
36,396.0,13,67.0,5,-1.0,0
39,0.0,28,224.0,2,-1.0,0
36,123.0,18,9.0,1,-1.0,0
53,3634.0,7,211.0,4,88.0,8
40,-164.0,7,87.0,1,-1.0,0
40,471.0,24,430.0,4,-1.0,0
27,8.0,20,777.0,3,-1.0,0
73,934.0,14,961.0,5,-1.0,0
30,486.0,29,1109.0,3,-1.0,0
34,-33.0,10,961.0,1,-1.0,0
32,46.0,21,788.0,6,-1.0,0
38,1988.0,27,164.0,2,130.0,2
55,2587.0,4,328.0,2,94.0,2
45,4022.0,29,244.0,3,-1.0,0
26,237.0,4,1091.0,3,-1.0,0
60,11262.0,26,323.0,1,-1.0,0
44,-101.0,15,679.0,1,366.0,4
52,3634.0,8,341.0,8,-1.0,0
25,319.0,20,48.0,3,-1.0,0
31,0.0,21,243.0,2,-1.0,0
45,66.0,5,808.0,2,-1.0,0
33,1211.0,7,456.0,1,-1.0,0
24,27.0,6,404.0,1,338.0,2
24,174.0,18,487.0,1,-1.0,0
36,0.0,28,81.0,4,-1.0,0
26,5795.0,14,1094.0,2,-1.0,0
59,434.0,12,63.0,3,-1.0,0
64,571.0,20,1422.0,2,-1.0,0
49,2501.0,30,50.0,2,-1.0,0
42,11115.0,10,187.0,1,102.0,1
42,479.0,9,391.0,2,-1.0,0
54,0.0,5,744.0,3,-1.0,0
34,210.0,20,199.0,1,-1.0,0
36,2971.0,12,247.0,1,97.0,8
45,1113.0,16,67.0,2,-1.0,0
31,1402.0,21,104.0,2,-1.0,0
52,-104.0,10,124.0,1,-1.0,0
39,-119.0,17,135.0,6,-1.0,0
43,1865.0,17,155.0,1,186.0,1
31,0.0,28,664.0,8,-1.0,0
30,697.0,28,545.0,2,181.0,8
35,507.0,22,560.0,2,-1.0,0
45,1.0,6,490.0,2,-1.0,0
29,1165.0,2,245.0,1,-1.0,0
36,0.0,6,149.0,1,-1.0,0
40,5060.0,10,154.0,2,93.0,1
55,1504.0,22,338.0,2,-1.0,0
29,2178.0,22,260.0,2,139.0,1
33,-848.0,9,12.0,12,256.0,2
26,294.0,4,208.0,2,-1.0,0
28,223.0,1,303.0,1,278.0,3
80,8304.0,9,712.0,1,64.0,12
28,375.0,14,43.0,1,350.0,1
57,63.0,25,1448.0,17,-1.0,0
47,1693.0,22,608.0,2,92.0,4
35,1354.0,23,736.0,2,-1.0,0
29,455.0,27,214.0,2,36.0,1
56,66.0,30,72.0,4,-1.0,0
27,4745.0,12,411.0,4,192.0,1
45,474.0,2,190.0,4,264.0,4
31,726.0,7,719.0,2,-1.0,0
36,1072.0,12,338.0,2,-1.0,0
49,1808.0,1,205.0,1,95.0,1
61,1428.0,5,82.0,2,-1.0,0
28,0.0,14,17.0,24,-1.0,0
46,1103.0,13,185.0,2,278.0,3
35,935.0,28,259.0,2,-1.0,0
28,451.0,13,302.0,1,301.0,1
33,891.0,8,398.0,2,-1.0,0
30,541.0,26,414.0,2,-1.0,0
31,761.0,18,514.0,2,-1.0,0
36,449.0,4,166.0,2,-1.0,0
43,481.0,3,187.0,1,20.0,1
43,465.0,28,78.0,12,-1.0,0
54,3343.0,16,216.0,1,-1.0,0
30,536.0,14,362.0,2,91.0,2
51,3134.0,19,92.0,3,-1.0,0
29,84.0,3,587.0,3,-1.0,0
29,1311.0,28,622.0,1,-1.0,0
30,305.0,4,227.0,2,-1.0,0
26,37.0,8,108.0,1,-1.0,0
54,1090.0,21,160.0,7,-1.0,0
48,2369.0,11,516.0,2,-1.0,0
48,362.0,13,529.0,1,-1.0,0
46,435.0,15,192.0,3,-1.0,0
52,0.0,9,467.0,3,92.0,7
52,0.0,7,211.0,1,294.0,1
33,129.0,30,482.0,1,161.0,1
40,1322.0,8,26.0,1,-1.0,0
31,527.0,15,98.0,2,359.0,1
52,363.0,21,168.0,1,462.0,1
34,2037.0,15,324.0,2,-1.0,0
32,1388.0,30,753.0,1,-1.0,0
33,1050.0,26,304.0,4,-1.0,0
38,0.0,21,126.0,3,-1.0,0
55,1937.0,21,64.0,3,-1.0,0
55,-256.0,9,136.0,2,-1.0,0
31,138.0,26,91.0,1,285.0,2
26,1099.0,15,99.0,2,225.0,13
